ID_Event,ID_Eval,P1,P2,P3,P4,P5,P6,C1,C2,C3,C4,C5,C6,C7,E1,E2,E3,E4,E5,E6
A,A1,,9,,12,,,12,,6,,,,,12,,,,,
A,A2,12,,,12,6,,12,,,,,,,6,,,,,
A,A3,12,,,12,12,,12,,,,,,,,12,,,,
A,A4,,9,,9,,,9,,9,,,,,,9,,,,
A,A5,12,,,12,,,,,12,,,,,9,,,,,
A,A6,,12,,12,12,,12,,12,,,,,,,,,,
A,A7,,12,,10,12,,10,12,,,,,,,,,,,
A,A8,,6,,8,,,8,,,,,,,8,8,,,,
A,A9,,8,12,10,,,,12,,,,,12,,,,,,
B,B1,9,6,,12,,,12,,,,,,,,12,,,,
B,B2,6,,0.01,,,,12,,,,,,,6,,12,,,
B,B3,,12,,12,9,,12,,,,,,,9,,,,,
B,B4,,10,,12,8,,8,,,,,,,,4,,,,
B,B5,,,9,12,,,,,9,,,,,,3,3,,,
B,B6,,9,6,12,6,,12,,,,,,,,,,,,
B,B7,,12,12,,,,12,,,,,,,10,,,,4,
B,B8,8,10,,12,,,8,,,,,,,8,,,,,
B,B9,9,,,12,,,,,,,,,9,9,,,,9,
B,B10,12,,6,6,,,6,,,,,,,6,,,,,
B,B11,12,9,,9,,,12,,9,,,,,,,,,,
B,B12,,,,12,12,,12,,,,,,,10,,,,2,
B,B13,,9,,12,,,,,,,,,,9,9,,,3,
B,B14,8,,,10,,,,,8,,,,,8,,12,,,
B,B15,,12,,12,12,,12,,12,,,,,,,,,,
B,B16,9,,6,12,,,9,,,,,,,9,,,,,
B,B17,6,,,12,,,9,,,,,,,6,,,,3,
B,B18,,,,12,,,9,12,,,,,,,9,,,6,
B,B19,12,,,12,,,12,,12,,,,,,12,,,,
B,B20,,12,9,12,,,12,,,,,,,9,,,,,
B,B21,9,,,12,12,,9,,,,,,,,9,,,,
B,B22,3,,,9,,,,6,3,,,,,,,,,12,
B,B23,9,,,12,9,,9,,12,,,,,,,,,,
